"attrib_name","TCGA.3H.AB3K","TCGA.3H.AB3L","TCGA.3H.AB3M","TCGA.3H.AB3O","TCGA.3H.AB3S","TCGA.3H.AB3T","TCGA.3H.AB3U","TCGA.3H.AB3X","TCGA.3U.A98D","TCGA.3U.A98E","TCGA.3U.A98F","TCGA.3U.A98G","TCGA.3U.A98H","TCGA.3U.A98I","TCGA.3U.A98J","TCGA.LK.A4NW","TCGA.LK.A4NY","TCGA.LK.A4NZ","TCGA.LK.A4O0","TCGA.LK.A4O2","TCGA.LK.A4O4","TCGA.LK.A4O5","TCGA.LK.A4O6","TCGA.LK.A4O7","TCGA.MQ.A4KX","TCGA.MQ.A4LC","TCGA.MQ.A4LI","TCGA.MQ.A4LJ","TCGA.MQ.A4LM","TCGA.MQ.A4LP","TCGA.MQ.A4LV","TCGA.MQ.A6BL","TCGA.MQ.A6BN","TCGA.MQ.A6BQ","TCGA.MQ.A6BR","TCGA.MQ.A6BS","TCGA.NQ.A57I","TCGA.NQ.A638","TCGA.SC.A6LM","TCGA.SC.A6LN","TCGA.SC.A6LP","TCGA.SC.A6LQ","TCGA.SC.A6LR","TCGA.SC.AA5Z","TCGA.SH.A7BC","TCGA.SH.A7BD","TCGA.SH.A7BH","TCGA.SH.A9CT","TCGA.SH.A9CU","TCGA.TS.A7OU","TCGA.TS.A7OY","TCGA.TS.A7OZ","TCGA.TS.A7P0","TCGA.TS.A7P1","TCGA.TS.A7P3","TCGA.TS.A7P6","TCGA.TS.A7P7","TCGA.TS.A7P8","TCGA.TS.A7PB","TCGA.TS.A8AF","TCGA.TS.A8AI","TCGA.TS.A8AS","TCGA.TS.A8AV","TCGA.TS.A8AY","TCGA.UD.AABY","TCGA.UD.AABZ","TCGA.UD.AAC1","TCGA.UD.AAC4","TCGA.UD.AAC5","TCGA.UD.AAC6","TCGA.UD.AAC7","TCGA.UT.A88C","TCGA.UT.A88D","TCGA.UT.A88E","TCGA.UT.A88G","TCGA.UT.A97Y","TCGA.XT.AASU","TCGA.YS.A95B","TCGA.YS.A95C","TCGA.YS.AA4M","TCGA.ZN.A9VO","TCGA.ZN.A9VP","TCGA.ZN.A9VQ","TCGA.ZN.A9VS","TCGA.ZN.A9VU","TCGA.ZN.A9VV","TCGA.ZN.A9VW"
"RAET1G",7.9189,7.8094,4.0273,7.4744,9.2982,3.5422,10.2847,7.0348,4.4737,9.1147,6.0655,3.161,10.0097,5.0444,7.4805,9.0572,5.7423,8.3122,2.9004,7.6789,2.5709,8.3023,9.1478,7.9029,10.318,9.8651,8.7283,9.6056,2.8396,6.3175,1.8136,3.0674,9.8178,10.2146,6.2363,9.837,4.3326,7.9547,2.7975,3.7386,4.933,9.2666,9.6549,10.5555,6.1264,10.9578,5.2953,8.7359,5.3335,12.2484,5.4023,4.6873,4.3513,7.4686,4.9203,5.6761,4.6893,7.902,10.3804,6.721,6.7688,10.8824,2.2138,3.9863,4.9037,6.0558,10.0956,9.0777,7.2917,7.8974,9.1821,11.3704,6.1547,6.5502,3.0327,7.1477,5.5473,6.1538,9.4783,6.1267,9.2823,7.8524,5.8628,11.5227,10.9576,3.9505,3.7243
"RALGAPA2",5.9104,8.1152,8.4603,7.3678,7.4185,6.5269,10.5054,8.3569,8.1982,9.727,8.2664,8.8867,8.9868,8.4452,8.3405,8.542,6.9483,8.8555,6.8658,8.3509,9.5208,7.0658,7.1518,9.7135,9.4179,9.1489,9.3575,8.6102,6.5129,8.024,6.6549,5.044,5.1858,8.4744,7.8192,9.8302,7.6794,8.4707,8.0354,4.5065,4.6019,9.4363,9.3495,9.957,8.3515,4.7638,2.8198,10.5433,8.6154,6.9792,7.4103,7.624,7.9954,8.3865,8.6074,5.1155,6.0193,9.2378,7.3932,8.552,7.7652,8.5909,7.893,7.7583,7.7081,5.5959,7.2462,7.7596,8.4625,8.6751,7.9494,9.8307,8.9378,8.917,10.9105,8.0254,8.0893,9.5924,8.5551,8.1524,8.4325,9.6141,8.488,9.6396,9.1263,4.223,7.0168
"RAP1GAP",8.5546,8.0883,6.9642,6.4547,8.1403,3.359,8.8512,5.467,6.9788,8.5748,7.0033,3.161,8.0246,5.5614,8.1328,9.5069,8.1527,8.4476,3.6771,9.4858,9.794,6.4632,7.3931,8.6376,7.8411,8.8231,6.8629,8.4064,3.8215,8.7745,8.3885,3.1497,7.2769,8.5559,7.4118,9.7846,5.869,6.8431,10.1887,7.3237,5.7668,6.3953,7.3261,7.859,7.2319,7.6376,5.1551,8.2186,8.9929,8.6293,4.7931,8.7683,7.3836,8.0139,7.969,5.9504,8.2647,6.8061,8.4901,7.503,7.5059,8.9962,7.5507,7.8555,7.8101,9.9047,7.3722,6.0001,9.0227,6.199,7.1513,8.234,8.0197,7.9211,10.0043,7.1886,7.9999,7.5197,6.8938,5.8262,8.3329,9.485,9.0308,7.636,7.2643,8.4027,4.8585
"RAPGEF4",3.7871,3.8743,6.9945,5.0297,5.6464,5.6856,5.5776,6.5343,6.9912,3.6782,5.7987,7.4516,6.3711,6.7973,9.155,7.6676,6.6262,6.2846,10.1225,5.1885,9.0477,4.7965,6.6862,5.9772,6.8521,4.9578,9.0375,8.5361,6.1202,6.5117,4.3121,5.9776,2.7121,4.7624,7.1864,4.5869,7.0814,4.114,5.3009,6.1765,5.9133,6.52,9.1282,9.3686,6.2321,3.1858,4.5011,9.3866,8.7846,4.5506,7.5935,6.3929,8.4959,5.7621,8.7268,7.3835,5.7176,7.881,6.9052,6.2407,6.9006,7.9522,7.5966,7.6967,6.4961,5.814,7.8606,6.9935,6.0751,4.867,5.6034,6.8749,6.7714,8.7047,5.7417,7.8719,7.0519,8.2048,6.2623,7.0516,5.1447,4.5182,5.9334,11.6397,4.8706,6.5074,4.9915
"RARRES1",10.0401,13.7807,13.7565,15.0394,12.7767,8.057,13.4882,13.3046,11.0425,13.9757,4.5152,9.5381,11.6991,10.5384,13.7857,12.2495,13.5064,13.0594,9.1385,13.1741,8.297,13.3991,11.2549,9.7692,12.4461,14.8923,14.1108,12.6869,9.2109,12.0496,11.3357,10.8492,10.8796,12.9023,13.2255,11.6104,6.8903,13.5906,11.3443,11.6035,9.9075,13.6646,11.8445,14.1549,12.7402,12.6173,5.6785,13.0916,13.2622,13.7365,12.4126,11.8444,13.9062,13.536,11.4534,14.433,5.463,12.0654,13.5647,14.1829,9.325,14.239,10.9943,13.299,11.8087,10.1308,14.3832,12.6518,10.6797,13.4767,14.6838,13.9877,12.2812,10.6166,13.9437,11.4832,10.2485,11.5721,12.525,11.9994,13.5368,13.7658,9.2888,15.395,15.7002,10.9915,14.4043
"RASA2",2.3973,5.0078,6.2146,6.7441,5.1176,5.2139,5.2117,6.0565,5.3476,5.4209,6.8891,6.6942,6.1358,7.1441,5.0537,4.5654,5.6258,4.7198,7.6489,6.5101,7.8994,6.8981,5.587,5.5698,5.9108,3.9175,5.6399,5.7825,6.3262,5.7803,5.5058,5.5476,1.917,3.7533,4.7091,6.2543,6.2778,4.4911,5.7701,2.2567,2.77,6.1655,4.2965,5.9684,7.3079,1.1674,2.6311,7.6272,4.4605,2.5168,6.3098,6.0216,6.4418,6.1034,6.68,1.9831,6.4899,7.1216,4.5162,6.7929,6.2646,6.9203,6.6452,6.256,6.6557,2.0558,4.9792,4.8348,6.5462,5.9263,7.1513,6.3797,7.5818,6.5681,7.2849,6.1707,6.5725,7.0202,5.6225,7.0206,5.7653,7.2913,6.1563,5.932,6.6964,2.7276,6.8163
"RASD1",4.9485,3.7424,2.4677,6.0505,3.5739,5.9569,5.1324,3.1045,6.835,5.0289,4.5152,10.4294,4.4315,8.7039,5.0537,9.3672,7.0014,5.4296,7.7993,4.2557,10.9274,7.825,11.6037,3.9331,4.823,3.6452,6.9864,7.3117,6.4191,6.5268,6.7922,6.7913,4.0241,2.6022,4.7091,6.8895,7.1184,4.3292,5.3009,7.8041,6.9077,8.6699,7.7792,4.7437,4.2146,3.6106,8.7612,8.689,4.9777,5.2993,8.8539,8.8111,4.1485,4.8126,10.4037,7.3263,7.648,11.1047,9.9089,6.543,4.8178,10.4228,9.7868,5.0208,5.0308,4.9169,2.8673,3.0892,5.1295,5.305,4.6079,3.6449,6.2341,1.5364,5.2967,8.1299,10.3565,2.5563,4.9795,5.1262,4.753,6.1631,5.4655,4.081,5.5133,7.1699,4.0362
"RASGEF1A",5.6896,7.5318,3.5328,8.0763,4.4479,4.025,5.116,7.5302,8.2352,4.1398,3.0736,4.5916,5.4343,5.2605,7.8363,2.5585,6.9179,4.2899,4.6196,5.4425,6.9732,6.0232,6.0806,9.0184,5.3909,5.0252,8.4396,6.1014,5.8596,3.4631,6.8821,7.0273,2.7121,5.7669,8.2625,5.7997,2.2951,3.9379,6.4964,6.1952,8.0473,4.0527,9.1173,6.9512,4.49,5.3085,6.5491,4.9841,4.3688,5.4235,4.5873,6.0038,6.7873,4.4916,4.6706,5.6446,7.0435,5.6506,4.3502,5.4202,5.3095,5.5384,6.87,7.7811,5.2469,5.2814,8.7996,3.9247,4.0364,8.1081,5.5908,5.7164,5.8864,6.3162,7.7213,4.8283,4.2447,8.2816,3.5092,6.3102,7.3584,8.1993,3.9075,4.8456,7.6814,5.1838,5.2915
"RASL10B",7.4189,6.4821,8.2473,6.1918,4.6889,6.9774,7.7665,8.0813,4.4013,3.4135,9.78,6.7534,5.9075,6.7504,6.4665,6.6461,9.1786,5.7047,5.1232,8.3044,2.8156,7.1108,8.6192,7.5749,5.0381,6.4143,7.3272,6.8407,8.1902,8.0912,3.8495,2.3038,6.6274,4.9379,4.9726,7.7288,5.9981,5.419,5.7701,8.7368,4.8863,6.0997,6.0092,5.6901,3.9671,7.0495,7.309,5.25,8.5333,5.9498,6.3593,7.3355,8.5647,6.0124,7.6156,6.6891,6.0773,6.7932,4.5162,8.3887,7.0716,6.5984,4.6572,6.8044,6.2278,8.8955,3.8928,8.5693,7.5051,8.5677,7.7271,6.0858,6.1312,6.1094,8.2418,7.6963,7.0256,8.3058,6.841,5.9158,5.2315,5.7246,7.2214,4.081,4.7933,8.8918,7.0168
"RBMS3",1.782,4.3972,4.0095,4.2498,4.5734,7.0141,2.7109,4.7868,6.2076,2.2494,5.0107,6.8914,4.994,6.4466,4.2004,4.4231,6.3721,3.9945,6.9658,6.1387,6.1555,5.3293,6.1137,4.5505,4.6376,2.3462,2.0423,5.7713,6.8777,5.9899,5.3214,6.3954,3.9612,2.6022,5.2158,4.6978,6.1724,4.2409,4.5685,5.2776,6.2506,6.4359,3.4318,5.1057,5.9951,2.2444,3.9744,4.2704,3.7228,5.5742,6.1875,6.0565,5.1446,7.6743,7.1713,6.8455,6.9348,6.287,4.7474,5.3782,7.8661,7.1535,6.501,5.0208,6.248,2.3066,7.0782,5.9811,4.3688,6.2103,6.5233,5.0431,6.1193,3.6762,7.3396,5.7586,6.7434,5.8785,4.4034,6.9796,2.2194,2.6705,7.436,3.2,4.4342,4.2837,7.2767
